AREA,DISTRICT,BUILDING NAME,BLOCK,FLOOR,ROOM,YEAR,Remarks
NT,Yuen Long,雅珊園,3,4,D,,"凶宅,  Same Floor No Mortgage"
HK,鰂魚涌,康怡花園,D,LOW,,1988,烹夫案
HK,鰂魚涌,康怡花園,B,LOW,,,墮樓命案
KWL,九龍灣,德福花園,C,LOW,,1998,五屍命案
NT,荃灣,荃灣中心,17,LOW,,1996,Suicide 6 people
HK,堅尼地城,觀龍樓,D,13,,2016-07-16,
HK,堅尼地城,聯威新樓,,,,2016-03-14,Suicide
HK,堅尼地城,寶翠園,2,,,2015-09-17,Fallen from Building
HK,堅尼地城,均益大廈 ,2,,,2015-06-14,Fallen from Building
HK,堅尼地城,美菲閣,1,13,,2005-07-07,
HK,堅尼地城,創業中心,A,22,,1999-08-30,Suicide
HK,堅尼地城,海都樓,C,,,2001-10-25,Suicide
HK,堅尼地城,佳景閣,,22,,2015-03-09,48歲姓梁女子於早晨7時許從廚房推窗跳樓
HK,堅尼地城,均益大廈 ,1,,,2014-11-09,61歲女子於下午3時許因病厭世由高處墮下
HK,堅尼地城,聚賢逸居,,,,2013-11-16,27歲姓何女子於晚上10時許因感情困擾跳樓自殺亡
HK,堅尼地城,金陵閣,,11,,2012-03-08,Suicide
